time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-01-20T04:10:12.570Z,31.371,49.119,33,4.5,mb,,,,1.41,us,usp0008epf,2014-11-07T01:04:21.369Z,"28 km E of sedeyen-e Yek, Iran",earthquake,,,,3,reviewed,us,us
1998-01-19T22:08:57.820Z,33.745,46.006,33,4.8,mb,,,,1.04,us,usp0008enz,2014-11-07T01:04:21.328Z,"40 km WNW of ?l?m, Iran",earthquake,,,,20,reviewed,us,us
1998-01-18T03:12:59.920Z,30.467,50.531,33,4.8,mb,,,,1.02,us,usp0008ejc,2014-11-07T01:04:21.014Z,"28 km WNW of Dogonbadan, Iran",earthquake,,,,42,reviewed,us,us
1998-01-17T05:21:35.280Z,32.574,48.103,33,4.7,mb,,,,1.42,us,usp0008egn,2014-11-07T01:04:20.841Z,"42 km NW of Shahrak-e K?l?r?, Iran",earthquake,,,,4,reviewed,us,us
1998-01-15T04:00:51.490Z,26.281,55.391,33,4.6,mb,,,,1.11,us,usp0008ecb,2014-11-07T01:04:20.382Z,"59 km ESE of Bandar-e Lengeh, Iran",earthquake,,,,4,reviewed,us,us
1998-01-11T08:08:05.960Z,30.5,50.63,33,4.7,mb,,,,0.86,us,usp0008e37,2014-11-07T01:04:19.189Z,"22 km NW of Dogonbadan, Iran",earthquake,,,,37,reviewed,us,us
1998-01-09T19:06:13.840Z,36.472,52.174,33,4.8,mb,,,,1.12,us,usp0008e0b,2014-11-07T01:04:18.720Z,"15 km W of ?mol, Iran",earthquake,,,,43,reviewed,us,us
1998-01-05T15:56:36.490Z,28.359,55.192,37.1,4.7,mb,,,,1.16,us,usp0008dsy,2014-11-07T01:04:17.461Z,"76 km SE of D?r?b, Iran",earthquake,,,,10,reviewed,us,us
1998-01-01T13:32:11.080Z,28.049,53.542,33,4.5,mb,,,,0.97,us,usp0008dju,2014-11-07T01:04:14.996Z,"72 km NW of Ger?sh, Iran",earthquake,,,,4,reviewed,us,us
1998-01-01T03:53:43.190Z,29.852,51.425,33,4.6,mb,,,,1.54,us,usp0008dhu,2014-11-07T01:04:14.287Z,"30 km SSW of N?r?b?d, Iran",earthquake,,,,22,reviewed,us,us
1997-12-15T21:07:34.250Z,29.166,51.172,33,4.5,mb,,,,1.01,us,usp0008cq7,2014-11-07T01:04:07.979Z,"12 km SSW of Bor?zj?n, Iran",earthquake,,,,5,reviewed,us,us
1997-12-09T09:07:54.530Z,28.277,55.65,33,4.6,mb,,,,0.72,us,usp0008cax,2014-11-07T01:04:06.325Z,"120 km ESE of D?r?b, Iran",earthquake,,,,20,reviewed,us,us
1997-12-09T00:37:26.490Z,32.337,49.336,33,4.5,mb,,,,1.4,us,usp0008ca8,2014-11-07T01:04:06.253Z,"44 km N of Masjed Soleym?n, Iran",earthquake,,,,6,reviewed,us,us
1997-12-01T12:25:31.640Z,35.278,59.25,33,4.7,mb,,,,1.17,us,usp0008bkm,2014-11-07T01:04:00.763Z,"2 km E of Torbat-e ?eydar?yeh, Iran",earthquake,,,,2,reviewed,us,us
1997-11-18T07:14:40.640Z,32.627,47.897,33,4.9,mb,,,,1.2,us,usp0008avq,2014-11-07T01:03:55.463Z,"58 km NW of Sh?sh, Iran",earthquake,,,,4,reviewed,us,us
1997-11-18T06:56:57.580Z,33.052,48.083,33,4.6,mb,,,,1.21,us,usp0008avp,2014-11-07T01:03:55.461Z,"48 km S of Vas??n, Iran",earthquake,,,,1,reviewed,us,us
1997-11-05T22:42:56.790Z,34.98,51.362,33,4.5,mb,,,,0.81,us,usp0008a55,2014-11-07T01:03:52.149Z,"39 km SSW of Eqb?l?yeh, Iran",earthquake,,,,10,reviewed,us,us
1997-11-04T19:25:16.180Z,28.086,53.825,33,4.5,mb,,,,1.4,us,usp0008a34,2014-11-07T01:03:51.697Z,"55 km NNW of Ger?sh, Iran",earthquake,,,,8,reviewed,us,us
1997-11-03T06:59:31.130Z,36.331,54.454,33,4.8,mb,,,,1.23,us,usp0008a0k,2014-11-07T01:03:50.917Z,"20 km NNE of D?mgh?n, Iran",earthquake,,,,22,reviewed,us,us
1997-11-01T13:36:30.980Z,28.524,57.173,33,4.5,mb,,,,0.74,us,usp00089vk,2014-11-07T01:03:49.545Z,"90 km SSE of K?h Sef?d, Iran",earthquake,,,,26,reviewed,us,us
1997-10-31T05:50:14.720Z,28.025,53.644,33,4.5,mb,,,,1.03,us,usp00089u2,2014-11-07T01:03:47.120Z,"62 km NW of Ger?sh, Iran",earthquake,,,,10,reviewed,us,us
1997-10-23T14:35:32.840Z,28.043,53.87,33,4.8,mb,,,,0.78,us,usp00089gq,2014-11-07T01:03:45.165Z,"48 km NNW of Ger?sh, Iran",earthquake,,,,43,reviewed,us,us
1997-10-20T10:06:34.570Z,28.516,57.253,33,4.9,mb,,,,0.95,us,usp00089c9,2014-11-07T01:03:44.550Z,"95 km SSE of K?h Sef?d, Iran",earthquake,,,,53,reviewed,us,us
1997-10-20T06:09:04.260Z,28.502,57.275,33,5.4,mwc,,,,0.91,us,usp00089c0,2022-04-29T17:05:34.327Z,"97 km SSE of K?h Sef?d, Iran",earthquake,,,,,reviewed,us,hrv
1997-10-06T16:09:36.480Z,28.511,57.132,33,4.8,mb,,,,1.18,us,usp00088n0,2014-11-07T01:03:38.169Z,"90 km SSE of K?h Sef?d, Iran",earthquake,,,,26,reviewed,us,us
1997-10-03T17:01:00.860Z,27.761,54.709,33,4.8,mb,,,,1.2,us,usp00088f6,2014-11-07T01:03:36.402Z,"57 km E of Ger?sh, Iran",earthquake,,,,45,reviewed,us,us
